id,building_reference_number,price,inspection_date,date_of_transfer,address,property_type,new_build,local_authority_label,constituency_label,posttown,construction_age_band,postcode,current_energy_rating,potential_energy_rating,current_energy_efficiency,potential_energy_efficiency,built_form,transaction_type,environment_impact_current,environment_impact_potential,energy_consumption_current,energy_consumption_potential,co2_emissions_current,co2_emiss_curr_per_floor_area,co2_emissions_potential,lighting_cost_current,lighting_cost_potential,heating_cost_current,heating_cost_potential,hot_water_cost_current,hot_water_cost_potential,total_floor_area,energy_tariff,mains_gas_flag,glazed_type,glazed_area,extension_count,number_habitable_rooms,number_heated_rooms,low_energy_lighting,number_open_fireplaces,hotwater_description,hot_water_energy_eff,hot_water_env_eff,floor_description,windows_description,windows_energy_eff,windows_env_eff,walls_description,walls_energy_eff,walls_env_eff,roof_description,roof_energy_eff,roof_env_eff,mainheat_description,mainheat_energy_eff,mainheat_env_eff,mainheatcont_description,mainheatc_energy_eff,mainheatc_env_eff,lighting_description,lighting_energy_eff,lighting_env_eff,main_fuel,tenure
169,10000077615,305000,2021-03-17,2021-06-29T00:00:00Z,"14 DRAYCOTT CLOSE, CRICKLEWOOD, LONDON",Flat,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1991-1995,NW2 1UN,B,B,81,81,Semi-Detached,rental,69,69,271,271,1.7,46,1.7,39,39,146,146,161,161,37,standard tariff,N,double glazing installed before 2002,Normal,0,2,2,100,0,"Electric immersion, off-peak",Average,Poor,(another dwelling below),Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),N/A,N/A,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),Rented (private)
170,10000070808,2250000,2021-03-30,2021-06-23T00:00:00Z,"13 WEST HEATH DRIVE, GOLDERS GREEN, LONDON",House,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1900-1929,NW11 7QG,E,C,50,70,Semi-Detached,marketed sale,41,60,286,172,10.7,53,6.5,176,115,1873,1302,142,134,202,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,4,9,9,47,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 47% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
171,10000914381,675000,2021-04-01,2021-06-30T00:00:00Z,"112D PARK ROAD, NEW BARNET, BARNET",Bungalow,N,Barnet,Chipping Barnet,BARNET,England and Wales: 1976-1982,EN4 9QS,G,E,10,47,Detached,marketed sale,23,53,626,291,8.3,106,3.8,65,65,2299,1479,643,196,78,Unknown,N,double glazing installed during or after 2002,Normal,0,3,3,100,0,From main system,Very Poor,Poor,"Solid, no insulation (assumed)",Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Pitched, limited insulation (assumed)",Poor,Poor,"Boiler and radiators, electric",Very Poor,Poor,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),Owner-occupied
172,10000949370,305000,2021-04-07,2021-03-09T00:00:00Z,"150 DEANSBROOK ROAD, DEANS LANE TO LYNDHURST AVENUE, EDGWARE",Flat,N,Barnet,Hendon,EDGWARE,England and Wales: 1930-1949,HA8 9DL,C,B,77,83,End-Terrace,rental,77,86,148,94,1.8,26,1.1,61,61,327,208,76,76,70,Single,Y,double glazing installed during or after 2002,Normal,0,4,4,100,0,From main system,Good,Good,(another dwelling below),Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Poor,Poor,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (social)
174,10000895268,1070000,2021-04-30,2021-05-04T00:00:00Z,"10 DINGWALL GARDENS, GOLDERS GREEN",House,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1930-1949,NW11 7ET,D,B,64,81,Mid-Terrace,not sale or rental,55,76,223,110,6.1,39,3,100,100,1062,678,91,91,155,Single,Y,"double glazing, unknown install date",Normal,1,7,7,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Roof room(s), no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is no
175,10000209187,650000,2021-02-05,2021-04-09T00:00:00Z,3 Pentland Close,House,N,Barnet,Finchley and Golders Green,London,England and Wales: 1950-1966,NW11 8SP,D,C,58,80,Semi-Detached,marketed sale,51,76,286,126,4.7,50,2.1,120,73,786,550,100,70,92,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,0,4,4,36,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Partial double glazing,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Room thermostat only,Poor,Poor,Low energy lighting in 36% of fixed outlets,Average,Average,mains gas (not community),Owner-occupied
176,10000361921,1230000,2021-01-21,2021-03-31T00:00:00Z,"23 SUMMERLEE GARDENS, EAST FINCHLEY, LONDON",House,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1930-1949,N2 9QN,D,B,65,85,Mid-Terrace,marketed sale,57,82,221,84,5.3,39,2,140,93,836,518,152,84,136,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,1,6,6,50,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
177,10000640921,570000,2021-02-15,2021-06-28T00:00:00Z,"47 AVONDALE ROAD, FINCHLEY, LONDON",House,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1900-1929,N3 2EU,D,B,68,89,Mid-Terrace,marketed sale,64,89,216,56,3.1,38,0.9,66,66,520,323,124,81,82,off-peak 7 hour,Y,double glazing installed before 2002,Normal,0,5,5,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
178,10000607834,295000,2021-02-03,2021-04-01T00:00:00Z,368A LONG LANE,Flat,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: before 1900,N2 8JX,D,C,60,77,Detached,rental,57,81,379,172,2.4,67,1.1,33,33,455,220,79,70,36,off-peak 7 hour,Y,not defined,Normal,0,3,3,100,0,From main system,Good,Good,(another dwelling below),Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 75 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Room thermostat only,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
179,10000287186,350000,2021-02-09,2021-03-02T00:00:00Z,"41 WINDMILL DRIVE, CRICKLEWOOD, LONDON",Flat,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1996-2002,NW2 1UR,C,B,73,84,Mid-Terrace,rental,58,76,342,179,2.8,58,1.5,52,52,43,107,499,165,48,off-peak 10 hour,N,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Poor,Poor,(another dwelling below),Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,(another dwelling above),N/A,N/A,Electric storage heaters,Average,Very Poor,Controls for high heat retention storage heaters,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),Rented (private)
181,10000664404,515000,2021-02-25,2021-06-07T00:00:00Z,"58 HARCOURT AVENUE, EDGWARE",House,N,Barnet,Hendon,EDGWARE,England and Wales: 1930-1949,HA8 8YN,C,B,72,86,Semi-Detached,marketed sale,70,83,177,89,2.7,31,1.4,77,77,464,431,94,68,86,standard tariff,Y,double glazing installed before 2002,Normal,0,4,4,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
185,10000141658,1075000,2021-03-22,2021-06-28T00:00:00Z,"12 LANSDOWNE ROAD, FINCHLEY, LONDON",House,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: before 1900,N3 1ES,D,B,56,81,Semi-Detached,marketed sale,47,77,282,112,6.8,50,2.8,93,94,1176,646,111,77,137,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,1,6,6,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Partial double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
186,10000577410,575000,2021-02-23,2021-01-18T00:00:00Z,"341 HENDON WAY, LONDON",House,N,Barnet,Hendon,LONDON,England and Wales: 1930-1949,NW4 3NB,D,B,64,82,Semi-Detached,rental,56,78,227,104,5.1,40,2.4,89,89,908,577,93,93,129,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,5,5,100,2,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
187,10000063187,700000,2021-01-07,2021-04-16T00:00:00Z,"135 ARLINGTON ROAD, SOUTHGATE, LONDON",House,N,Barnet,Chipping Barnet,LONDON,England and Wales: 1930-1949,N14 5BA,E,B,47,85,Semi-Detached,marketed sale,39,83,368,82,6.2,65,1.4,141,74,965,424,172,73,95,off-peak 7 hour,Y,double glazing installed before 2002,Normal,0,5,5,10,0,From main system,Average,Average,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 10% of fixed outlets,Poor,Poor,mains gas (not community),Owner-occupied
188,10000410994,600000,2021-03-22,2021-06-18T00:00:00Z,"58 WESTERN WAY, BARNET",House,N,Barnet,Chipping Barnet,BARNET,England and Wales: 1930-1949,EN5 2BT,D,B,64,88,Semi-Detached,marketed sale,59,86,252,74,3.7,44,1.1,126,67,609,380,97,68,83,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,5,5,13,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 13% of fixed outlets,Poor,Poor,mains gas (not community),Owner-occupied
192,10000362352,757500,2021-01-19,2021-04-06T00:00:00Z,"51 ASHURST ROAD, EAST BARNET, BARNET",House,N,Barnet,Chipping Barnet,BARNET,England and Wales: 1930-1949,EN4 9LH,E,C,49,78,Semi-Detached,marketed sale,40,72,348,141,7,61,2.9,142,84,1134,679,155,74,114,off-peak 7 hour,Y,double glazing installed before 2002,Normal,0,5,5,30,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Mostly double glazing,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 30% of fixed outlets,Average,Average,mains gas (not community),Owner-occupied
193,10000303600,230000,2021-01-07,2021-03-19T00:00:00Z,"2 WESTERN AVENUE, GOLDERS GREEN, LONDON",Bungalow,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1930-1949,NW11 9HH,E,B,52,82,Semi-Detached,non marketed sale,42,78,299,103,8.9,53,3.1,122,123,1591,687,93,93,169,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,0,5,5,82,0,From main system,Good,Good,"Solid, no insulation (assumed)",Partial double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 82% of fixed outlets,Very Good,Very Good,mains gas (not community),Rented (private)
194,10001100482,955500,2021-04-13,2021-03-23T00:00:00Z,"42 OAKWOOD ROAD, GOLDERS GREEN, LONDON",House,N,Barnet,Finchley and Golders Green,LONDON,England and Wales: 1900-1929,NW11 6RL,E,B,39,84,Semi-Detached,marketed sale,32,81,450,96,7.6,80,1.6,74,75,1177,464,248,73,95,Single,Y,not defined,Normal,0,5,5,100,0,From main system,Average,Average,"Suspended, no insulation (assumed)",Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
195,10000934028,330000,2021-06-24,2021-06-29T00:00:00Z,138 DEVONSHIRE ROAD,House,N,Barnet,Hendon,LONDON,England and Wales: 1930-1949,NW7 1DJ,D,B,65,87,Semi-Detached,marketed sale,59,85,246,79,3.8,43,1.2,69,69,673,418,85,57,86,Unknown,Y,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
197,10000344499,440000,2021-02-04,2021-03-12T00:00:00Z,"40 ROCHESTER DRIVE, BEXLEY",House,N,Bexley,Bexleyheath and Crayford,BEXLEY,England and Wales: 1950-1966,DA5 1PY,C,B,71,84,Semi-Detached,marketed sale,68,82,181,90,2.9,32,1.5,73,73,503,448,94,66,92,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, filled cavity",Average,Average,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
198,10000043187,410000,2021-01-27,2021-06-17T00:00:00Z,"114 GIPSY ROAD, WELLING",House,N,Bexley,Bexleyheath and Crayford,WELLING,England and Wales: 1930-1949,DA16 1JE,D,B,65,83,Semi-Detached,marketed sale,60,80,243,105,3.1,43,1.4,75,75,528,445,106,51,73,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,5,4,78,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Mostly double glazing,Poor,Poor,"Cavity wall, filled cavity",Average,Average,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 78% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
199,10000200451,500000,2021-01-31,2021-03-19T00:00:00Z,"292 BEDONWELL ROAD, BELVEDERE",Bungalow,N,Bexley,Erith and Thamesmead,BELVEDERE,England and Wales: 1930-1949,DA17 5NY,E,B,43,81,Detached,marketed sale,35,77,390,110,7.6,69,2.2,82,82,1157,557,267,74,110,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,1,5,5,100,0,"From main system, no cylinder thermostat",Poor,Poor,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
200,10000638691,375000,2021-01-25,2021-03-18T00:00:00Z,"47 WYNCHAM AVENUE, SIDCUP",House,N,Bexley,Old Bexley and Sidcup,SIDCUP,England and Wales: 1930-1949,DA15 8EU,D,B,60,87,Semi-Detached,marketed sale,53,86,283,70,3.9,50,1,72,72,675,359,96,67,78,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,0,3,3,88,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, no room thermostat",Very Poor,Very Poor,Low energy lighting in 88% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
201,10000380168,850000,2021-02-11,2021-06-24T00:00:00Z,"6 ABBOTSWOOD CLOSE, BELVEDERE",House,N,Bexley,Erith and Thamesmead,BELVEDERE,England and Wales: 1983-1990,DA17 5RN,C,B,80,84,Detached,marketed sale,75,79,107,87,5.3,19,4.3,138,138,848,848,137,137,280,off-peak 7 hour,Y,double glazing installed during or after 2002,Normal,1,8,8,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, insulated (assumed)",Average,Average,"Boiler and underfloor heating, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
202,10000361498,700000,2021-02-02,2021-03-18T00:00:00Z,"50 TELFORD ROAD, LONDON",House,N,Bexley,Old Bexley and Sidcup,LONDON,England and Wales: 1900-1929,SE9 3RD,D,B,64,84,Semi-Detached,marketed sale,56,80,215,88,5.5,38,2.3,116,116,887,541,156,98,145,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,3,6,6,80,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,TRVs and bypass,Average,Average,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
203,10000355690,683000,2021-02-04,2021-03-12T00:00:00Z,"234 RYDAL DRIVE, BEXLEYHEATH",Bungalow,N,Bexley,Bexleyheath and Crayford,BEXLEYHEATH,England and Wales: 1930-1949,DA7 5DG,D,C,59,72,Detached,marketed sale,50,63,248,173,6.8,44,4.8,100,100,1169,979,105,105,154,off-peak 7 hour,Y,double glazing installed during or after 2002,Normal,1,6,6,100,1,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
204,10000131142,325000,2021-03-06,2021-06-01T00:00:00Z,"12 BARNETT CLOSE, ERITH",House,N,Bexley,Bexleyheath and Crayford,ERITH,England and Wales: 1983-1990,DA8 2EG,C,B,79,90,Mid-Terrace,marketed sale,79,90,118,42,1.8,21,0.7,72,72,320,320,84,55,89,off-peak 7 hour,Y,triple glazing,Normal,0,5,5,100,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully triple glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
205,10000118080,450000,2021-02-25,2021-05-24T00:00:00Z,"19 INGLETON AVENUE, WELLING",House,N,Bexley,Bexleyheath and Crayford,WELLING,England and Wales: 1930-1949,DA16 2JY,D,B,64,85,Semi-Detached,marketed sale,54,79,226,78,3.9,47,1.5,98,67,587,412,97,67,83,off-peak 7 hour,Y,double glazing installed during or after 2002,Normal,2,5,5,55,1,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 55% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
207,10001180972,236000,2021-04-20,2021-06-25T00:00:00Z,"77 HARTSLOCK DRIVE, LONDON",House,N,Bexley,Erith and Thamesmead,LONDON,England and Wales: 1950-1966,SE2 9UU,E,C,48,71,End-Terrace,marketed sale,39,63,341,181,7.5,60,4,126,91,1242,886,156,75,125,Single,Y,not defined,Much More Than Typical,2,6,6,62,0,From main system,Good,Good,"Solid, no insulation (assumed)",Partial double glazing,Average,Average,"System built, as built, no insulation (assumed)",Very Poor,Very Poor,"Flat, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 62% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
208,10001002579,330000,2021-04-13,2021-02-05T00:00:00Z,"22 ABBOTTS WALK, BEXLEYHEATH",Bungalow,N,Bexley,Erith and Thamesmead,BEXLEYHEATH,England and Wales: 1930-1949,DA7 5RJ,D,B,60,82,Semi-Detached,rental,55,79,292,114,3.3,51,1.3,73,55,572,433,93,63,64,Single,Y,double glazing installed before 2002,Normal,0,4,4,67,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),Rented (private)
209,10000305336,320000,2021-01-19,2021-03-31T00:00:00Z,"20 CHAUCER ROAD, WELLING",House,N,Bexley,Old Bexley and Sidcup,WELLING,England and Wales: 1967-1975,DA16 3NH,C,B,72,91,Mid-Terrace,marketed sale,71,91,190,39,2.1,33,0.5,81,54,349,282,100,59,63,off-peak 7 hour,Y,"double glazing, unknown install date",Normal,1,3,3,50,0,From main system,Good,Good,"Solid, no insulation (assumed)",Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
210,10000302049,325000,2021-01-19,2021-03-25T00:00:00Z,"2 STANMORE ROAD, BELVEDERE",House,N,Bexley,Erith and Thamesmead,BELVEDERE,England and Wales: 1900-1929,DA17 6EB,D,B,61,84,End-Terrace,marketed sale,53,81,267,96,4.3,47,1.6,73,73,715,452,129,79,91,off-peak 10 hour,Y,"double glazing, unknown install date",Normal,0,4,4,100,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Poor,Poor,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
211,10000428735,620000,2021-01-13,2021-03-12T00:00:00Z,"61 FRANCIS AVENUE, BEXLEYHEATH",Bungalow,N,Bexley,Bexleyheath and Crayford,BEXLEYHEATH,England and Wales: 1930-1949,DA7 5BY,C,B,71,85,Detached,marketed sale,67,82,180,86,3.2,32,1.6,93,93,542,455,90,62,100,off-peak 7 hour,Y,double glazing installed during or after 2002,Normal,1,5,5,80,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,mains gas (not community),Owner-occupied
212,10000370399,435000,2021-01-06,2021-05-27T00:00:00Z,"24 BEECH AVENUE, SIDCUP",House,N,Bexley,Old Bexley and Sidcup,SIDCUP,England and Wales: 1930-1949,DA15 8NH,E,C,50,76,Semi-Detached,marketed sale,42,70,350,153,5.4,62,2.4,94,71,900,597,140,84,88,off-peak 7 hour,Y,double glazing installed before 2002,Normal,2,5,5,67,0,From main system,Good,Good,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
213,10000704879,220000,2021-01-08,2021-03-09T00:00:00Z,66 Hinksey Path,House,N,Bexley,Erith and Thamesmead,LONDON,England and Wales: 1950-1966,SE2 9TD,D,B,57,81,Mid-Terrace,marketed sale,49,77,279,111,5.3,49,2.1,111,81,812,553,187,74,107,off-peak 7 hour,Y,double glazing installed before 2002,Normal,0,5,5,63,0,"From main system, no cylinder thermostat",Average,Average,"Suspended, no insulation (assumed)",Fully double glazed,Average,Average,"System built, as built, no insulation (assumed)",Very Poor,Very Poor,"Flat, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 63% of fixed outlets,Good,Good,mains gas (not community),Owner-occupied
215,10000421371,220000,2021-01-13,2021-03-26T00:00:00Z,"74A HOLLY HILL ROAD, ERITH",Maisonette,N,Bexley,Erith and Thamesmead,ERITH,England and Wales: 1930-1949,DA8 1QD,E,C,51,80,Semi-Detached,marketed sale,38,67,534,260,4.3,90,2.1,46,46,591,201,408,160,47,standard tariff,N,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Very Poor,Poor,(another dwelling below),Fully double glazed,Good,Good,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Pitched, 150 mm loft insulation",Good,Good,Electric storage heaters,Average,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),Owner-occupied
